Year,Country,Exports,Country Key,Iterating Key
1990,Angola,84.35,1,1
1991,Angola,70.501,1,2
1992,Angola,80.25,1,3
1993,Angola,38.878,1,4
1994,Angola,8.302,1,5
1995,Angola,40.559,1,6
1996,Angola,51.831,1,7
1997,Angola,50.494,1,8
1998,Angola,53.929,1,9
1999,Angola,50.114,1,10
2000,Angola,21.505,1,11
2001,Angola,14.25,1,12
2002,Angola,9.345,1,13
2003,Angola,17.298,1,14
2004,Angola,5.67,1,15
2005,Angola,4.665,1,16
2006,Angola,5.41,1,17
2007,Angola,3.916,1,18
2008,Angola,6.105,1,19
2009,Angola,6.925,1,20
2010,Angola,4.37,1,21
2011,Angola,7.575,1,22
2012,Angola,8.375,1,23
2013,Angola,5.52,1,24
2014,Angola,9.375,1,25
2015,Angola,10.515,1,26
2016,Angola,10.945,1,27
2017,Angola,9.055,1,28
2018,Angola,9.3233967,1,29
2019,Angola,23.3571778,1,30
1990,Bolivia (Plurinational State of),156.442,2,1
1991,Bolivia (Plurinational State of),73.523,2,2
1992,Bolivia (Plurinational State of),96.2040001,2,3
1993,Bolivia (Plurinational State of),47.319,2,4
1994,Bolivia (Plurinational State of),84.3210002,2,5
1995,Bolivia (Plurinational State of),93.9580001,2,6
1996,Bolivia (Plurinational State of),123.4450001,2,7
1997,Bolivia (Plurinational State of),110.9550001,2,8
1998,Bolivia (Plurinational State of),97.0389999,2,9
1999,Bolivia (Plurinational State of),123.709,2,10
2000,Bolivia (Plurinational State of),106.347,2,11
2001,Bolivia (Plurinational State of),69.555,2,12
2002,Bolivia (Plurinational State of),79.148,2,13
2003,Bolivia (Plurinational State of),73.1590001,2,14
2004,Bolivia (Plurinational State of),93.278,2,15
2005,Bolivia (Plurinational State of),84.2137507,2,16
2006,Bolivia (Plurinational State of),92.5442368,2,17
2007,Bolivia (Plurinational State of),84.0471555,2,18
2008,Bolivia (Plurinational State of),68.1538912,2,19
2009,Bolivia (Plurinational State of),82.6087731,2,20
2010,Bolivia (Plurinational State of),78.2680061,2,21
2011,Bolivia (Plurinational State of),74.3088833,2,22
2012,Bolivia (Plurinational State of),62.67578,2,23
2013,Bolivia (Plurinational State of),54.8505333,2,24
2014,Bolivia (Plurinational State of),61.7512667,2,25
2015,Bolivia (Plurinational State of),30.2801583,2,26
2016,Bolivia (Plurinational State of),22.4563417,2,27
2017,Bolivia (Plurinational State of),26.1199916,2,28
2018,Bolivia (Plurinational State of),22.4596336,2,29
2019,Bolivia (Plurinational State of),20.3419549,2,30
1990,Brazil,16935.7876,3,1
1991,Brazil,21182.7614,3,2
1992,Brazil,18790.7192,3,3
1993,Brazil,17837.748,3,4
1994,Brazil,17273.1476,3,5
1995,Brazil,14468.4322,3,6
1996,Brazil,15250.609,3,7
1997,Brazil,16801.26001,3,8
1998,Brazil,18144.38833,3,9
1999,Brazil,23149.2038,3,10
2000,Brazil,18016.26064,3,11
2001,Brazil,23172.48651,3,12
2002,Brazil,27981.83894,3,13
2003,Brazil,25710.81166,3,14
2004,Brazil,26478.47509,3,15
2005,Brazil,26198.05545,3,16
2006,Brazil,27368.90196,3,17
2007,Brazil,28183.57395,3,18
2008,Brazil,29510.29569,3,19
2009,Brazil,30377.98164,3,20
2010,Brazil,33166.64159,3,21
