Year,Country,Imports,Country Key,Iterating Key
1990,   Austria,1879.717004,1,1
1991,   Austria,2058.271005,1,2
1992,   Austria,2206.416005,1,3
1993,   Austria,1836.489002,1,4
1994,   Austria,1417.214004,1,5
1995,   Austria,1231.436001,1,6
1996,   Austria,1210.466006,1,7
1997,   Austria,1294.203406,1,8
1998,   Austria,1293.354106,1,9
1999,   Austria,1499.777011,1,10
2000,   Austria,1257.232892,1,11
2001,   Austria,1432.413588,1,12
2002,   Austria,1447.207389,1,13
2003,   Austria,1336.059588,1,14
2004,   Austria,1538.156191,1,15
2005,   Austria,1576.57893,1,16
2006,   Austria,1600.652025,1,17
2007,   Austria,1968.112699,1,18
2008,   Austria,1901.066696,1,19
2009,   Austria,1309.234032,1,20
2010,   Austria,1369.200299,1,21
2011,   Austria,1452.492905,1,22
2012,   Austria,1558.609366,1,23
2013,   Austria,1554.926951,1,24
2014,   Austria,1525.08108,1,25
2015,   Austria,1513.390286,1,26
2016,   Austria,1494.93856,1,27
2017,   Austria,1459.911532,1,28
2018,   Austria,1429.406832,1,29
2019,   Austria,1447.513664,1,30
1990,   Belgium,0,2,1
1991,   Belgium,0,2,2
1992,   Belgium,0,2,3
1993,   Belgium,0,2,4
1994,   Belgium,0,2,5
1995,   Belgium,0,2,6
1996,   Belgium,0,2,7
1997,   Belgium,0,2,8
1998,   Belgium,0,2,9
1999,   Belgium,3003.005512,2,10
2000,   Belgium,3490.615583,2,11
2001,   Belgium,3208.627181,2,12
2002,   Belgium,3792.172778,2,13
2003,   Belgium,3817.614025,2,14
2004,   Belgium,3968.304565,2,15
2005,   Belgium,4063.225076,2,16
2006,   Belgium,4604.683977,2,17
2007,   Belgium,4013.653412,2,18
2008,   Belgium,6792.086621,2,19
2009,   Belgium,5915.500588,2,20
2010,   Belgium,5923.729993,2,21
2011,   Belgium,5828.442382,2,22
2012,   Belgium,5668.231844,2,23
2013,   Belgium,5502.14364,2,24
2014,   Belgium,5211.749274,2,25
2015,   Belgium,5533.514206,2,26
2016,   Belgium,6052.170164,2,27
2017,   Belgium,5677.379139,2,28
2018,   Belgium,5742.253404,2,29
2019,   Belgium,6198.896527,2,30
1990,   Belgium/Luxembourg,2014.954017,3,1
1991,   Belgium/Luxembourg,1746.225019,3,2
