Decade,Country,Population,Country Key,Iterating Key
1990,Afghanistan,10694796,1,1
2000,Afghanistan,19542982,1,2
2010,Afghanistan,28189672,1,3
1990,Albania,3295066,2,1
2000,Albania,3182021,2,2
2010,Albania,2913399,2,3
1990,Algeria,25518074,3,1
2000,Algeria,30774621,3,2
2010,Algeria,35856344,3,3
1990,American Samoa,47818,4,1
2000,American Samoa,58230,4,2
2010,American Samoa,54849,4,3
1990,Andorra,53569,5,1
2000,Andorra,66097,5,2
2010,Andorra,71519,5,3
1990,Angola,11828638,6,1
2000,Angola,16394062,6,2
2010,Angola,23364185,6,3
1990,Anguilla,8316,7,1
2000,Anguilla,11047,7,2
2010,Anguilla,13172,7,3
1990,Antigua and Barbuda,63328,8,1
2000,Antigua and Barbuda,75055,8,2
2010,Antigua and Barbuda,85695,8,3
1990,Argentina,32637657,9,1
2000,Argentina,37070774,9,2
2010,Argentina,41100123,9,3
1990,Armenia,3556539,10,1
2000,Armenia,3168523,10,2
2010,Armenia,2946293,10,3
1990,Aruba,65712,11,1
2000,Aruba,89101,11,2
2010,Aruba,100341,11,3
1990,Australia,17048003,12,1
2000,Australia,19017963,12,2
2010,Australia,22019168,12,3
1990,Austria,7678729,13,1
2000,Austria,8010428,13,2
2010,Austria,8362829,13,3
1990,Azerbaijan,7427836,14,1
2000,Azerbaijan,8190337,14,2
2010,Azerbaijan,9237202,14,3
1990,Bahamas,270679,15,1
2000,Bahamas,325014,15,2
2010,Bahamas,373272,15,3
1990,Bahrain,517418,16,1
2000,Bahrain,711442,16,2
2010,Bahrain,1213645,16,3
1990,Bangladesh,107147651,17,1
2000,Bangladesh,129193327,17,2
2010,Bangladesh,148391139,17,3
1990,Barbados,258868,18,1
2000,Barbados,264657,18,2
2010,Barbados,274711,18,3
1990,Belarus,10428525,19,1
2000,Belarus,10256483,19,2
2010,Belarus,9731427,19,3
1990,Belgium,9959560,20,1
2000,Belgium,10264343,20,2
2010,Belgium,10877947,20,3
1990,Belize,182589,21,1
2000,Belize,240406,21,2
2010,Belize,322106,21,3
1990,Benin,5133419,22,1
2000,Benin,6998023,22,2
2010,Benin,9445710,22,3
1990,Bermuda,57470,23,1
2000,Bermuda,61371,23,2
2010,Bermuda,63447,23,3
1990,Bhutan,558442,24,1
2000,Bhutan,587207,24,2
2010,Bhutan,705516,24,3
1990,Bolivia,7096194,25,1
2000,Bolivia,8592656,25,2
2010,Bolivia,10223270,25,3
1990,Bosnia and Herzegovina,4494310,26,1
2000,Bosnia and Herzegovina,4179350,26,2
2010,Bosnia and Herzegovina,3811088,26,3
1990,Botswana,1341474,27,1
2000,Botswana,1726985,27,2
2010,Botswana,2091664,27,3
1990,Brazil,150706446,28,1
2000,Brazil,175873720,28,2
2010,Brazil,196353492,28,3
1990,British Virgin Islands,15617,29,1
2000,British Virgin Islands,20104,29,2
2010,British Virgin Islands,27556,29,3
1990,Brunei,261928,30,1
2000,Brunei,333926,30,2
2010,Brunei,396053,30,3
1990,Bulgaria,8767778,31,1
2000,Bulgaria,8097691,31,2
2010,Bulgaria,7592273,31,3
1990,Burkina Faso,9131361,32,1
2000,Burkina Faso,11882888,32,2
2010,Burkina Faso,16116845,32,3
1990,Burundi,5483793,33,1
2000,Burundi,6307659,33,2
2010,Burundi,9126605,33,3
1990,Cambodia,8910808,34,1
2000,Cambodia,12118841,34,2
2010,Cambodia,14363532,34,3
1990,Cameroon,11430520,35,1
2000,Cameroon,15091594,35,2
2010,Cameroon,19878036,35,3
1990,Canada,27657204,36,1
2000,Canada,30683313,36,2
2010,Canada,33963412,36,3
1990,Cape Verde,364563,37,1
2000,Cape Verde,458251,37,2
2010,Cape Verde,521212,37,3
1990,Cayman Islands,26027,38,1
2000,Cayman Islands,39658,38,2
2010,Cayman Islands,54074,38,3
1990,Central African Republic,2809221,39,1
2000,Central African Republic,3759170,39,2
2010,Central African Republic,4660067,39,3
1990,Chad,5827069,40,1
2000,Chad,8259137,40,2
2010,Chad,11894727,40,3
1990,Chile,13342868,41,1
2000,Chile,15351799,41,2
2010,Chile,17004162,41,3
1990,China,1153704252,42,1
